# (id, start_wall, num_walls, zfloor, zceil)
SECT 2 
0 0 8 0.0 60.0
1 8 7 15.0 75.0

# (id, p1x, p1y, p2x, p2y, portal)
WALL 15
100.0 50.0 50.0 100.0 -1
50.0 100.0 50.0 200.0 -1
50.0 200.0 100.0 250.0 -1
100.0 250.0 200.0 250.0 -1
200.0 250.0 250.0 200.0 1
250.0 200.0 250.0 100.0 -1
250.0 100.0 200.0 50.0 -1
200.0 50.0 100.0 50.0 -1
250.0 200.0 200.0 250.0 0
200.0 250.0 200.0 350.0 -1
200.0 350.0 250.0 400.0 -1
250.0 400.0 350.0 400.0 -1
350.0 400.0 400.0 250.0 -1
400.0 250.0 350.0 200.0 -1
350.0 200.0 250.0 200.0 -1

# (px, py, zpos, angle, sector)
CAM
150.0 135.0 20.0 0.0 0 
